iter	Passed	Remaining
0	1	142
1	2	137
2	4	135
3	5	122
4	6	114
5	6	106
6	7	101
7	8	97
8	9	93
9	9	89
10	11	89
11	11	86
12	12	82
13	13	80
14	14	80
15	15	79
16	16	79
17	17	78
18	18	77
19	18	75
20	19	73
21	20	71
22	20	69
23	21	68
24	22	66
25	22	65
26	23	63
27	24	62
28	25	61
29	25	60
30	26	59
31	27	58
32	28	56
33	29	56
34	30	55
35	31	55
36	32	54
37	33	53
38	33	52
39	34	51
40	35	50
41	35	48
42	36	47
43	36	46
44	37	45
45	38	44
46	38	43
47	39	42
48	40	41
49	40	40
50	41	39
51	42	38
52	43	38
53	44	37
54	44	36
55	45	35
56	49	37
57	50	36
58	51	35
59	52	34
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	29
66	59	29
67	60	28
68	61	27
69	62	26
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	72	18
80	73	17
81	74	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	11
87	81	11
88	82	10
89	83	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	90	2
97	91	1
98	92	0
99	93	0
