iter	Passed	Remaining
0	263	263082
1	265	132526
2	267	88941
3	269	67227
4	272	54133
5	276	45744
6	278	39495
7	282	35051
8	284	31369
9	290	28712
10	291	26239
11	293	24159
12	294	22396
13	297	20920
14	298	19607
15	300	18468
16	305	17646
17	307	16749
18	308	15915
19	309	15165
20	310	14484
21	311	13865
22	315	13406
23	317	12904
24	318	12439
25	320	12005
26	321	11596
27	322	11211
28	324	10853
29	325	10517
30	326	10202
31	329	9971
32	331	9713
33	333	9465
34	334	9222
35	335	8995
36	337	8776
37	338	8564
38	339	8371
39	344	8269
40	346	8102
41	347	7933
42	349	7771
43	350	7610
44	351	7454
45	352	7306
46	353	7163
47	354	7026
48	357	6935
49	358	6817
50	359	6697
51	360	6578
52	361	6464
53	362	6354
54	363	6248
55	364	6145
56	365	6046
57	366	5953
58	367	5861
59	368	5772
60	370	5702
61	371	5622
62	372	5539
63	373	5459
64	374	5381
65	375	5307
66	375	5233
67	376	5162
68	377	5092
69	378	5027
70	379	4961
71	380	4897
72	380	4835
73	381	4775
74	382	4716
75	384	4677
76	385	4622
77	386	4567
78	387	4513
79	387	4461
80	388	4410
81	389	4360
82	389	4307
83	390	4260
84	391	4215
85	392	4171
86	393	4127
87	394	4083
88	394	4041
89	395	3999
90	396	3958
91	398	3931
92	399	3894
93	400	3856
94	400	3819
95	402	3786
96	403	3754
97	404	3720
98	404	3685
99	405	3651
100	406	3617
101	407	3584
102	407	3552
103	408	3520
104	409	3489
105	410	3461
106	412	3439
107	413	3411
108	414	3385
109	415	3359
110	416	3333
111	417	3306
112	417	3279
113	418	3253
114	419	3228
115	420	3203
116	421	3177
117	421	3153
118	422	3129
119	424	3112
120	425	3090
121	426	3066
122	426	3043
123	427	3021
124	428	2999
125	429	2978
126	430	2956
127	430	2935
128	431	2915
129	432	2895
130	433	2875
131	434	2855
132	435	2836
133	436	2817
134	438	2808
135	439	2789
136	439	2770
137	440	2752
138	441	2734
139	442	2716
140	442	2698
141	443	2678
142	444	2661
143	445	2645
144	445	2628
145	446	2611
146	447	2595
147	447	2578
148	448	2562
149	449	2546
150	450	2530
151	452	2521
152	452	2507
153	453	2492
154	454	2477
155	455	2462
156	455	2447
157	456	2434
158	457	2419
159	458	2406
160	459	2391
161	459	2378
162	460	2364
163	461	2351
164	461	2337
165	462	2325
166	463	2312
167	465	2303
168	466	2292
169	466	2280
170	467	2267
171	468	2254
172	469	2242
173	469	2230
174	470	2219
175	471	2208
176	472	2197
177	473	2187
178	474	2176
179	475	2166
180	476	2156
181	477	2146
182	480	2144
183	481	2134
184	482	2124
185	483	2114
186	484	2106
187	485	2098
188	487	2089
189	488	2081
190	489	2074
191	490	2066
192	492	2057
193	495	2056
194	498	2058
195	499	2050
196	501	2043
197	502	2034
198	503	2025
199	507	2028
200	508	2022
201	512	2023
202	513	2014
203	514	2006
204	515	1998
205	516	1989
206	517	1981
207	518	1972
208	520	1968
209	520	1959
210	521	1950
211	522	1941
212	523	1932
213	523	1924
214	524	1915
215	525	1908
216	526	1899
217	527	1890
218	527	1882
219	528	1873
220	529	1865
221	529	1857
222	530	1849
223	531	1840
224	532	1832
225	533	1827
226	534	1820
227	535	1812
228	535	1804
229	536	1796
230	537	1789
231	538	1781
232	538	1773
233	539	1766
234	540	1758
235	541	1752
236	541	1744
237	542	1737
238	543	1729
239	543	1722
240	544	1715
241	545	1708
242	546	1701
243	547	1696
244	548	1690
245	549	1684
246	550	1677
247	550	1670
248	551	1663
249	552	1656
250	552	1650
251	553	1643
252	554	1636
253	554	1630
254	556	1624
255	556	1618
256	557	1612
257	558	1605
258	559	1599
259	559	1593
260	561	1589
261	562	1584
262	563	1578
263	563	1572
264	564	1566
265	565	1560
266	566	1554
267	566	1548
268	567	1542
269	568	1536
270	569	1531
271	569	1525
272	570	1519
273	571	1513
274	572	1508
275	572	1502
276	573	1496
277	574	1492
278	575	1488
279	576	1483
280	577	1477
281	578	1472
282	578	1466
283	579	1461
284	580	1456
285	581	1450
286	581	1445
287	582	1439
288	583	1434
289	583	1429
290	584	1424
291	585	1419
292	586	1414
293	587	1409
294	587	1405
295	589	1401
296	590	1397
297	591	1392
298	592	1389
299	593	1384
300	594	1380
301	595	1376
302	596	1372
303	597	1367
304	598	1363
305	599	1358
306	599	1353
307	600	1349
308	601	1344
309	603	1342
310	604	1338
311	604	1333
312	605	1329
313	606	1324
314	606	1319
315	607	1315
316	608	1310
317	608	1306
318	609	1302
319	610	1297
320	611	1293
321	612	1288
322	612	1284
323	613	1280
324	614	1275
325	614	1271
326	616	1269
327	617	1265
328	618	1261
329	619	1257
330	619	1253
331	620	1248
332	621	1244
333	622	1240
334	622	1236
335	623	1232
336	624	1228
337	625	1224
338	626	1220
339	626	1216
340	627	1212
341	628	1208
342	628	1204
343	630	1201
344	631	1198
345	632	1194
346	632	1190
347	633	1187
348	634	1183
349	635	1179
350	635	1175
351	636	1172
352	637	1168
353	638	1165
354	639	1161
355	640	1157
356	640	1154
357	641	1150
358	642	1147
359	644	1145
360	645	1142
361	646	1138
362	646	1134
363	647	1131
364	648	1128
365	649	1124
366	650	1122
367	651	1118
368	652	1115
369	652	1111
370	653	1108
371	654	1104
372	655	1101
373	656	1098
374	656	1094
375	658	1092
376	659	1089
377	660	1086
378	660	1082
379	661	1079
380	662	1075
381	662	1072
382	663	1069
383	664	1066
384	665	1063
385	666	1060
386	667	1056
387	667	1053
388	668	1050
389	669	1046
390	675	1051
391	676	1049
